Model,Selling_price,Original_price
"iPhone SE ",32999,39900
"iPhone SE ",32999,39900
"iPhone SE ",32999,39900
"iPhone XR ",42999,47900
"iPhone 12 Mini ",61999,64900
"iPhone XR ",47999,52900
"iPhone 12 Mini ",61999,64900
"iPhone XR ",47999,52900
"iPhone SE ",44900,44900
"iPhone SE ",44900,44900
"iPhone 11 ",49900,49900
"iPhone 12 ",68999,70900
"iPhone SE ",44900,44900
"iPhone 12 ",78999,80900
"iPhone 12 ",68999,70900
"iPhone 12 ",63999,65900
"iPhone 12 Mini ",56999,59900
"iPhone 12 Mini ",61999,64900
"iPhone 12 ",78999,80900
"iPhone XR ",47999,52900
"iPhone 12 ",68999,70900
"iPhone 12 Mini ",61999,64900
"iPhone 12 Mini ",56999,59900
"iPhone 12 Mini ",56999,59900
"iPhone XR ",47999,52900
"iPhone 11 ",54900,54900
"iPhone 12 Mini ",61999,64900
"iPhone 12 Mini ",56999,59900
"iPhone 11 ",54900,54900
"iPhone SE ",54900,54900
"iPhone 12 Mini ",56999,59900
"iPhone XR ",47999,52900
"iPhone 11 ",49900,49900
"iPhone 11 ",49900,49900
"iPhone 12 ",68999,70900
"iPhone 11 ",49900,49900
"iPhone 12 ",63999,65900
"iPhone 12 ",68999,70900
"iPhone 12 Mini ",71999,84900
"iPhone XR ",42999,47900
"iPhone XR ",42999,47900
"iPhone 12 Pro Max ",149900,149900
"iPhone XR ",47999,52900
"iPhone XR ",42999,47900
"iPhone 12 ",78999,80900
"iPhone 12 ",63999,65900
"iPhone 12 Mini ",71999,74900
"iPhone 11 ",54900,54900
"iPhone 12 Mini ",56999,59900
"iPhone 12 ",63999,65900
"iPhone SE ",54900,54900
"iPhone 12 Mini ",61999,64900
"iPhone 12 ",78999,80900
"iPhone XR ",47999,52900
"iPhone 12 Pro ",119900,119900
"iPhone 12 Mini ",71999,74900
"iPhone 12 ",63999,65900
"iPhone 12 Mini ",71999,74900
"iPhone 11 Pro Max ",117100,117100
"iPhone XR ",42999,47900
"iPhone 12 Pro ",109900,109900
"iPhone 12 Pro ",139900,139900
"iPhone 12 Mini ",71999,74900
"iPhone XR ",42999,47900
"iPhone 11 Pro Max ",117100,117100
"iPhone 12 Mini ",71999,74900
"iPhone SE ",54900,54900
"iPhone 12 Pro ",109900,109900
"iPhone 12 Pro ",109900,109900
"iPhone 8 Plus ",59900,59900
"iPhone 12 Pro ",119900,119900
"iPhone 12 Pro ",139900,139900
"iPhone 11 ",54900,54900
"iPhone 11 Pro Max ",117100,117100
"iPhone 11 Pro ",140300,140300
"iPhone 12 Pro Max ",149900,149900
"iPhone 12 Pro Max ",149900,149900
"iPhone 11 ",49900,49900
"iPhone 8 Plus ",49900,49900
"iPhone 12 Pro Max ",149900,149900
"iPhone XS ",134900,134900
"iPhone 8 ",38999,39900
"iPhone 8 Plus ",49900,49900
"iPhone 12 Pro Max ",129900,129900
"iPhone 8 Plus ",84900,84900
"iPhone 12 ",78999,94900
"iPhone 12 Pro ",119900,119900
"iPhone 8 Plus ",84900,84900
"iPhone SE ",54900,54900
"iPhone 12 Pro Max ",129900,129900
"iPhone 8 Plus ",49900,49900
"iPhone XS ",134900,134900
"iPhone 8 ",77000,77000
"iPhone 12 Pro ",119900,119900
"iPhone 12 Pro Max ",119900,119900
"iPhone 12 Pro ",139900,139900
"iPhone 12 Pro Max ",119900,119900
"iPhone 12 Pro ",109900,109900
"iPhone 12 Pro Max ",119900,119900
"iPhone 11 Pro ",140300,140300
"iPhone 11 Pro Max ",131900,131900
"iPhone 6s Plus ",49999,49999
"iPhone XR ",42999,47900
"iPhone 11 Pro ",140300,140300
"iPhone 8 ",38999,39900
"iPhone 11 Pro ",79999,106600
"iPhone 11 ",54900,54900
"iPhone 6 Plus ",39999,39999
"iPhone XS Max ",144900,144900
"iPhone 7 Plus ",85400,85400
"iPhone 6s ",25299,29900
"iPhone 11 Pro ",79999,106600
"iPhone 11 Pro ",79999,106600
"iPhone 11 Pro ",140300,140300
"iPhone 7 ",24999,31500
"iPhone XS ",76999,103900
"iPhone XS ",62999,89900
"iPhone 11 Pro ",79999,106600
"iPhone 7 ",24999,31500
"iPhone 6s Plus ",34900,34900
"iPhone 7 Plus ",36999,37900
"iPhone 8 Plus ",84900,84900
"iPhone 11 Pro ",121300,121300
"iPhone 7 ",74400,74400
"iPhone 7 ",34900,34900
"iPhone 6 ",62500,62500
"iPhone 6s ",25299,29900
"iPhone 7 ",24999,31500
"iPhone XS ",76999,103900
"iPhone 7 Plus ",42900,42900
"iPhone 7 Plus ",36999,37900
"iPhone 11 Pro ",121300,121300
"iPhone 6s ",31999,31999
"iPhone 7 ",24999,31500
"iPhone 11 Pro Max ",131900,131900
"iPhone SE ",32999,39900
"iPhone XR ",47999,52900
"iPhone 11 ",49900,49900
"iPhone 11 ",49900,49900
"iPhone SE ",44900,44900
"iPhone 11 ",54900,54900
"iPhone 11 ",64900,64900
"iPhone SE ",54900,54900
"iPhone 12 ",63999,79900
"iPhone XR ",42999,47900
"iPhone XR ",42999,47900
"iPhone SE ",32999,39900
"iPhone 11 ",49900,49900
"iPhone SE ",44900,44900
"iPhone 12 Pro Max ",129900,129900
"iPhone 12 Pro Max ",119900,119900
"iPhone 11 ",64900,64900
"iPhone 11 ",64900,64900
"iPhone 11 ",64900,64900
"iPhone SE ",44900,44900
"iPhone 11 ",64900,64900
"iPhone 12 ",68999,84900
"iPhone 11 ",54900,54900
"iPhone XR ",42999,47900
"iPhone 11 ",64900,64900
"iPhone XR ",42999,47900
"iPhone 11 ",54900,54900
"iPhone 11 ",64900,64900
"iPhone 11 Pro Max ",131900,131900
"iPhone 8 ",81500,81500
"iPhone XR ",91900,91900
"iPhone 11 ",64900,64900
"iPhone XR ",91900,91900
"iPhone 11 ",54900,54900
"iPhone 11 ",64900,64900
"iPhone 11 Pro Max ",131900,131900
"iPhone XS Max ",73999,109900
"iPhone XR ",91900,91900
"iPhone XR ",91900,91900
"iPhone 11 ",54900,54900
"iPhone SE ",54900,54900
"iPhone 12 ",78999,80900
"iPhone 11 ",49900,49900
"iPhone 6 ",44999,44999
"iPhone 11 Pro Max ",117100,117100
"iPhone 11 ",64900,64900
"iPhone 11 ",64900,64900
"iPhone 6 Plus ",48999,48999
"iPhone 11 Pro ",140300,140300
"iPhone 11 Pro Max ",131900,131900
"iPhone 6s Plus ",49999,49999
"iPhone XR ",42999,47900
"iPhone 11 Pro ",140300,140300
"iPhone 8 ",38999,39900
"iPhone 11 Pro ",79999,106600
"iPhone 11 ",54900,54900
"iPhone 6 Plus ",39999,39999
"iPhone XS Max ",144900,144900
"iPhone 7 Plus ",85400,85400
"iPhone 6s ",25299,29900
"iPhone 11 Pro ",79999,106600
"iPhone 11 Pro ",79999,106600
"iPhone 11 Pro ",140300,140300
"iPhone 7 ",24999,31500
"iPhone XS ",76999,103900
"iPhone XS ",62999,89900
"iPhone 11 Pro ",79999,106600
"iPhone 7 ",24999,31500
"iPhone 6s Plus ",34900,34900
"iPhone 7 Plus ",36999,37900
"iPhone 8 Plus ",84900,84900
"iPhone 11 Pro ",121300,121300
"iPhone 7 ",74400,74400
"iPhone 7 ",34900,34900
"iPhone 6 ",62500,62500
"iPhone 6s ",25299,29900
"iPhone 7 ",24999,31500
"iPhone XS ",76999,103900
"iPhone 7 Plus ",42900,42900
"iPhone 7 Plus ",36999,37900
"iPhone 11 Pro ",121300,121300
"iPhone 6s ",31999,31999
"iPhone 7 ",24999,31500
"iPhone 11 Pro Max ",131900,131900
"iPhone 6s ",25299,29900
"iPhone 6s ",25299,29900
